"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.43.2.66","239.192.152.143","LSD","178",""
"2","0.000407706","10.43.2.66","239.192.152.143","LSD","178",""
"3","0.000414651","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","57098  >  6771 Len=138"
"4","0.000419210","fe80::c578:8270:d669:354f","ff15::efc0:988f","UDP","200","6771  >  6771 Len=138"
"5","0.012283295","10.43.1.27","157.240.16.52","TLSv1.2","97","Application Data"
"6","0.012487215","157.240.16.52","10.43.1.27","TCP","66","443  >  37956 [ACK] Seq=1 Ack=32 Win=627 Len=0 TSval=1749678754 TSecr=637670666"
"7","0.085195077","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"8","0.088072731","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"9","0.106292235","10.43.2.200","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"10","0.197193816","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"11","0.199704658","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"12","0.248274405","157.240.16.52","10.43.1.27","TLSv1.2","104","Application Data"
"13","0.248345552","10.43.1.27","157.240.16.52","TCP","66","37956  >  443 [ACK] Seq=32 Ack=39 Win=931 Len=0 TSval=637670902 TSecr=1749678994"
"14","0.270941480","fe80::d772:6bfa:ec4d:beda","ff02::2","ICMPv6","62","Router Solicitation"
"15","0.311554892","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"16","0.314905990","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"17","0.392917045","10.43.7.88","224.0.0.251","MDNS","208","Standard query response 0x0000 PTR, cache flush divyanshu-Lenovo-ideapad-320-15IKB.local AAAA, cache flush fe80::d772:6bfa:ec4d:beda"
"18","0.392995666","fe80::d772:6bfa:ec4d:beda","ff02::fb","MDNS","228","Standard query response 0x0000 PTR, cache flush divyanshu-Lenovo-ideapad-320-15IKB.local AAAA, cache flush fe80::d772:6bfa:ec4d:beda"
"19","0.423576221","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"20","0.425205656","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"21","0.447265327","10.43.1.197","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"22","0.483060020","10.43.7.100","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"23","0.500742429","10.43.2.153","224.2.2.2","UDP","72","60298  >  8995 Len=30"
"24","0.533215831","10.43.1.42","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"25","0.534125790","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"26","0.536520455","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"27","0.615583507","fe80::6124:6cb3:6aa5:31f3","ff02::1:ff62:20d0","ICMPv6","86","Neighbor Solicitation for fe80::5dae:5e86:262:20d0 from 98:29:a6:48:57:2d"
"28","0.632319966","10.43.2.191","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"29","0.644604337","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"30","0.646031426","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"31","0.659337183","10.43.1.200","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"32","0.750893327","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"33","0.751693317","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"34","0.769856152","10.43.1.52","10.43.7.255","UDP","305","54915  >  54915 Len=263"
"35","0.840747756","Cisco_80:9a:8f","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 0/43/78:da:6e:57:01:40  Cost = 4  Port = 0x800f"
"36","0.854317287","10.43.1.148","10.43.7.255","UDP","60","2008  >  2008 Len=11"
"37","0.854955017","10.43.1.148","10.43.7.255","UDP","60","2007  >  2007 Len=11"
"38","0.903070945","10.43.1.27","151.101.193.69","TCP","66","38312  >  443 [ACK] Seq=1 Ack=1 Win=1444 Len=0 TSval=97533114 TSecr=39182931"
